winner,totalvotes,percentage,total,percentagetotal
Althea Garrison,24914,6.97,357225,100
Bridget Nee-Walsh,27424,7.68,357225,100
Carla Monteiro,39648,11.10,357225,100
David Halbert,42516,11.90,357225,100
Erin Murphy,42841,11.99,357225,100
Ruthzee Louijeune,54601,15.28,357225,100
Julia Mejia,61709,17.27,357225,100
Michael Flaherty,62242,17.42,357225,100
