Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Michelle Wu,Michelle Wu Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 16, PRECINCT 2",213,52.21,193,47.30,408,2,0.49,1602
"WARD 16, PRECINCT 3",140,32.56,286,66.51,430,4,0.93,1603
"WARD 16, PRECINCT 4",167,38.75,264,61.25,431,0,0.00,1604
"WARD 16, PRECINCT 5",309,53.65,264,45.83,576,3,0.52,1605
"WARD 16, PRECINCT 6",229,37.24,384,62.44,615,2,0.33,1606
"WARD 16, PRECINCT 7",476,69.79,204,29.91,682,2,0.29,1607
"WARD 16, PRECINCT 8",436,56.62,329,42.73,770,5,0.65,1608
"WARD 16, PRECINCT 9",734,77.43,211,22.26,948,3,0.32,1609
"WARD 16, PRECINCT 10",472,72.17,177,27.06,654,5,0.76,1610
"WARD 16, PRECINCT 11",472,63.61,268,36.12,742,2,0.27,1611
"WARD 16, PRECINCT 12",704,83.71,136,16.17,841,1,0.12,1612
"WARD 17, PRECINCT 1",81,26.30,226,73.38,308,1,0.32,1701
"WARD 17, PRECINCT 2",63,27.51,165,72.05,229,1,0.44,1702
"WARD 17, PRECINCT 3",170,27.64,438,71.22,615,7,1.14,1703
"WARD 17, PRECINCT 4",271,34.26,517,65.36,791,3,0.38,1704
"WARD 17, PRECINCT 5",64,28.07,162,71.05,228,2,0.88,1705
"WARD 17, PRECINCT 6",138,29.36,330,70.21,470,2,0.43,1706
"WARD 17, PRECINCT 7",57,25.22,166,73.45,226,3,1.33,1707
"WARD 17, PRECINCT 8",103,28.45,254,70.17,362,5,1.38,1708
"WARD 17, PRECINCT 9",87,20.23,339,78.84,430,4,0.93,1709
"WARD 17, PRECINCT 10",138,30.87,305,68.23,447,4,0.89,1710
"WARD 17, PRECINCT 11",51,24.17,157,74.41,211,3,1.42,1711
"WARD 17, PRECINCT 12",114,30.81,254,68.65,370,2,0.54,1712
"WARD 17, PRECINCT 13",278,45.35,334,54.49,613,1,0.16,1713
"WARD 17, PRECINCT 14",206,34.28,390,64.89,601,5,0.83,1714
"WARD 18, PRECINCT 1",222,30.29,505,68.89,733,6,0.82,1801
"WARD 18, PRECINCT 2",123,29.01,297,70.05,424,4,0.94,1802
"WARD 18, PRECINCT 3",177,31.44,380,67.50,563,6,1.07,1803
"WARD 18, PRECINCT 4",168,29.63,393,69.31,567,6,1.06,1804
"WARD 18, PRECINCT 5",168,25.65,484,73.89,655,3,0.46,1805
"WARD 18, PRECINCT 6",200,26.18,556,72.77,764,8,1.05,1806
"WARD 18, PRECINCT 7",183,30.70,413,69.30,596,0,0.00,1807
"WARD 18, PRECINCT 8",279,29.71,651,69.33,939,9,0.96,1808
"WARD 18, PRECINCT 9",224,29.83,524,69.77,751,3,0.40,1809
"WARD 18, PRECINCT 10",285,24.51,877,75.41,1163,1,0.09,1810
"WARD 18, PRECINCT 11",106,24.42,325,74.88,434,3,0.69,1811
"WARD 18, PRECINCT 12",236,35.17,433,64.53,671,2,0.30,1812
"WARD 18, PRECINCT 13",127,34.89,235,64.56,364,2,0.55,1813
"WARD 18, PRECINCT 14",106,29.12,256,70.33,364,2,0.55,1814
"WARD 18, PRECINCT 15",152,27.00,406,72.11,563,5,0.89,1815
"WARD 18, PRECINCT 16",450,50.06,442,49.17,899,7,0.78,1816
"WARD 18, PRECINCT 17",307,47.67,336,52.17,644,1,0.16,1817
"WARD 18, PRECINCT 18",303,40.03,450,59.45,757,4,0.53,1818
"WARD 18, PRECINCT 19",454,44.34,564,55.08,1024,6,0.59,1819
"WARD 18, PRECINCT 20",581,58.57,406,40.93,992,5,0.50,1820
"WARD 18, PRECINCT 21",161,23.96,506,75.30,672,5,0.74,1821
"WARD 18, PRECINCT 22",412,45.23,497,54.56,911,2,0.22,1822
"WARD 18, PRECINCT 23",79,24.69,240,75.00,320,1,0.31,1823
"WARD 19, PRECINCT 1",61,8.84,627,90.87,690,2,0.29,1901
"WARD 19, PRECINCT 2",268,28.30,676,71.38,947,3,0.32,1902
"WARD 19, PRECINCT 3",92,14.67,532,84.85,627,3,0.48,1903
"WARD 19, PRECINCT 4",95,11.19,753,88.69,849,1,0.12,1904
"WARD 19, PRECINCT 5",80,11.61,608,88.24,689,1,0.15,1905
"WARD 19, PRECINCT 6",107,10.89,875,89.01,983,1,0.10,1906
"WARD 19, PRECINCT 7",111,13.49,710,86.27,823,2,0.24,1907
"WARD 19, PRECINCT 8",65,12.36,459,87.26,526,2,0.38,1908
"WARD 19, PRECINCT 9",51,10.60,428,88.98,481,2,0.42,1909
"WARD 19, PRECINCT 10",211,23.21,698,76.79,909,0,0.00,1910
"WARD 19, PRECINCT 11",87,16.73,431,82.88,520,2,0.38,1911
"WARD 19, PRECINCT 12",135,20.64,519,79.36,654,0,0.00,1912
"WARD 19, PRECINCT 13",104,23.11,346,76.89,450,0,0.00,1913
"WARD 20, PRECINCT 1",286,34.01,554,65.87,841,1,0.12,2001
"WARD 20, PRECINCT 2",226,26.68,619,73.08,847,2,0.24,2002
"WARD 20, PRECINCT 3",391,51.31,367,48.16,762,4,0.52,2003
"WARD 20, PRECINCT 4",135,17.58,628,81.77,768,5,0.65,2004
"WARD 20, PRECINCT 5",523,55.88,408,43.59,936,5,0.53,2005
"WARD 20, PRECINCT 6",471,46.50,541,53.41,1013,1,0.10,2006
"WARD 20, PRECINCT 7",297,43.29,388,56.56,686,1,0.15,2007
"WARD 20, PRECINCT 8",224,34.04,428,65.05,658,6,0.91,2008
"WARD 20, PRECINCT 9",247,34.02,478,65.84,726,1,0.14,2009
"WARD 20, PRECINCT 10",623,57.16,466,42.75,1090,1,0.09,2010
"WARD 20, PRECINCT 11",233,43.23,305,56.59,539,1,0.19,2011
"WARD 20, PRECINCT 12",378,53.09,333,46.77,712,1,0.14,2012
"WARD 20, PRECINCT 13",357,54.59,296,45.26,654,1,0.15,2013
"WARD 20, PRECINCT 14",410,59.68,276,40.17,687,1,0.15,2014
"WARD 20, PRECINCT 15",545,57.37,404,42.53,950,1,0.11,2015
"WARD 20, PRECINCT 16",645,61.08,408,38.64,1056,3,0.28,2016
"WARD 20, PRECINCT 17",673,55.99,527,43.84,1202,2,0.17,2017
"WARD 20, PRECINCT 18",285,46.64,324,53.03,611,2,0.33,2018
"WARD 20, PRECINCT 19",389,59.94,258,39.75,649,2,0.31,2019
"WARD 20, PRECINCT 20",447,49.72,452,50.28,899,0,0.00,2020
"WARD 21, PRECINCT 1",90,20.74,344,79.26,434,0,0.00,2101
"WARD 21, PRECINCT 2",17,20.99,63,77.78,81,1,1.23,2102
"WARD 21, PRECINCT 3",42,18.03,191,81.97,233,0,0.00,2103
"WARD 21, PRECINCT 4",24,11.27,189,88.73,213,0,0.00,2104
"WARD 21, PRECINCT 5",43,12.11,310,87.32,355,2,0.56,2105
"WARD 21, PRECINCT 6",70,20.11,276,79.31,348,2,0.57,2106
"WARD 21, PRECINCT 7",63,17.45,296,81.99,361,2,0.55,2107
"WARD 21, PRECINCT 8",56,13.24,365,86.29,423,2,0.47,2108
"WARD 21, PRECINCT 9",79,18.12,356,81.65,436,1,0.23,2109
"WARD 21, PRECINCT 10",67,19.76,272,80.24,339,0,0.00,2110
"WARD 21, PRECINCT 11",78,19.16,329,80.84,407,0,0.00,2111
"WARD 21, PRECINCT 12",122,27.66,318,72.11,441,1,0.23,2112
"WARD 21, PRECINCT 13",204,29.27,490,70.30,697,3,0.43,2113
"WARD 21, PRECINCT 14",46,18.33,203,80.88,251,2,0.80,2114
"WARD 21, PRECINCT 15",59,17.15,285,82.85,344,0,0.00,2115
"WARD 21, PRECINCT 16",131,25.10,391,74.90,522,0,0.00,2116
"WARD 22, PRECINCT 1",136,24.95,408,74.86,545,1,0.18,2201
"WARD 22, PRECINCT 2",145,21.45,529,78.25,676,2,0.30,2202
"WARD 22, PRECINCT 3",189,31.34,410,67.99,603,4,0.66,2203
"WARD 22, PRECINCT 4",139,25.69,401,74.12,541,1,0.18,2204
"WARD 22, PRECINCT 5",75,22.06,261,76.76,340,4,1.18,2205
"WARD 22, PRECINCT 6",89,27.81,231,72.19,320,0,0.00,2206
"WARD 22, PRECINCT 7",175,31.53,379,68.29,555,1,0.18,2207
"WARD 22, PRECINCT 8",141,33.18,284,66.82,425,0,0.00,2208
"WARD 22, PRECINCT 9",157,33.48,310,66.10,469,2,0.43,2209
"WARD 22, PRECINCT 10",175,32.35,366,67.65,541,0,0.00,2210
"WARD 22, PRECINCT 11",153,38.73,241,61.01,395,1,0.25,2211
"WARD 22, PRECINCT 12",175,43.86,221,55.39,399,3,0.75,2212
"WARD 22, PRECINCT 13",120,37.15,202,62.54,323,1,0.31,2213
Total,50879,35.65,91239,63.94,142703,585,0.41,1
