Precinct,Registered Voters,Voters Cast,Percentage,WARD_PRECINCT
"WARD 22, PRECINCT 1","2,441",546,22.37,2201
"WARD 22, PRECINCT 2","2,703",678,25.08,2202
"WARD 22, PRECINCT 3","2,172",605,27.85,2203
"WARD 22, PRECINCT 4","1,456",544,37.36,2204
"WARD 22, PRECINCT 5","1,556",342,21.98,2205
"WARD 22, PRECINCT 6","1,322",322,24.36,2206
"WARD 22, PRECINCT 7","1,783",559,31.35,2207
"WARD 22, PRECINCT 8","1,351",425,31.46,2208
"WARD 22, PRECINCT 9","1,473",471,31.98,2209
"WARD 22, PRECINCT 10","1,677",541,32.26,2210
"WARD 22, PRECINCT 11","1,173",395,33.67,2211
"WARD 22, PRECINCT 12","1,366",401,29.36,2212
"WARD 22, PRECINCT 13","1,045",326,31.20,2213
BOSTON - Total,"442,049","143,547",32.47,1
