Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Richard Spagnuolo,Richard Spagnuolo Percent,Andrea Campbell,Andrea Campbell Percent,Kim Janey,Kim Janey Percent,Michelle Wu,Michelle Wu Percent,Jon Santiago,Jon Santiago Percent,Robert Cappucci,Robert Cappucci Percent,John Barros,John Barros Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 5, PRECINCT 3",66,14.9,0,0,122,27.54,35,7.9,202,45.6,0,0,2,0.45,16,3.61,443,0,0,503
"WARD 5, PRECINCT 4",56,13.53,1,0.24,100,24.15,31,7.49,210,50.72,0,0,5,1.21,11,2.66,414,0,0,504
"WARD 5, PRECINCT 5",42,20.19,0,0,54,25.96,13,6.25,85,40.87,2,0.96,2,0.96,10,4.81,208,0,0,505
"WARD 5, PRECINCT 6",80,17.98,0,0,123,27.64,40,8.99,183,41.12,1,0.22,3,0.67,15,3.37,445,0,0,506
"WARD 5, PRECINCT 7",110,21.7,0,0,130,25.64,42,8.28,205,40.43,5,0.99,4,0.79,10,1.97,507,1,0.2,507
"WARD 5, PRECINCT 8",85,19.63,1,0.23,123,28.41,28,6.47,180,41.57,2,0.46,3,0.69,11,2.54,433,0,0,508
"WARD 5, PRECINCT 9",94,18.18,0,0,124,23.98,36,6.96,237,45.84,2,0.39,6,1.16,18,3.48,517,0,0,509
"WARD 5, PRECINCT 10",32,11.39,0,0,66,23.49,36,12.81,135,48.04,1,0.36,0,0,11,3.91,281,0,0,510
"WARD 5, PRECINCT 11",56,18.86,0,0,85,28.62,20,6.73,126,42.42,1,0.34,2,0.67,7,2.36,297,0,0,511
"WARD 5, PRECINCT 2A",19,9.79,0,0,38,19.59,34,17.53,96,49.48,1,0.52,2,1.03,4,2.06,194,0,0,0502A
"WARD 6, PRECINCT 1",283,21.99,2,0.16,262,20.36,122,9.48,543,42.19,2,0.16,25,1.94,45,3.5,"1,287",3,0.23,601
"WARD 6, PRECINCT 2",120,41.52,1,0.35,29,10.03,29,10.03,92,31.83,0,0,8,2.77,9,3.11,289,1,0.35,602
"WARD 6, PRECINCT 3",183,47.53,0,0,52,13.51,25,6.49,114,29.61,0,0,5,1.3,6,1.56,385,0,0,603
"WARD 6, PRECINCT 4",219,48.56,2,0.44,64,14.19,18,3.99,126,27.94,0,0,7,1.55,15,3.33,451,0,0,604
"WARD 6, PRECINCT 5",185,45.23,0,0,45,11,21,5.13,123,30.07,3,0.73,19,4.65,13,3.18,409,0,0,605
"WARD 6, PRECINCT 6",294,64.33,0,0,33,7.22,19,4.16,81,17.72,1,0.22,12,2.63,16,3.5,457,1,0.22,606
"WARD 6, PRECINCT 7",272,62.24,0,0,59,13.5,19,4.35,69,15.79,0,0,13,2.97,5,1.14,437,0,0,607
"WARD 6, PRECINCT 8",272,64.3,1,0.24,35,8.27,17,4.02,77,18.2,0,0,6,1.42,14,3.31,423,1,0.24,608
"WARD 6, PRECINCT 9",336,69.42,1,0.21,31,6.4,17,3.51,79,16.32,1,0.21,13,2.69,6,1.24,484,0,0,609
"WARD 7, PRECINCT 1",299,67.34,0,0,40,9.01,19,4.28,55,12.39,2,0.45,20,4.5,9,2.03,444,0,0,701
"WARD 7, PRECINCT 2",329,63.51,3,0.58,41,7.92,19,3.67,109,21.04,0,0,7,1.35,10,1.93,518,0,0,702
"WARD 7, PRECINCT 3",341,58.09,4,0.68,57,9.71,28,4.77,124,21.12,0,0,17,2.9,13,2.21,587,3,0.51,703
"WARD 7, PRECINCT 4",165,49.4,0,0,55,16.47,13,3.89,79,23.65,0,0,9,2.69,12,3.59,334,1,0.3,704
"WARD 7, PRECINCT 5",109,36.09,0,0,45,14.9,29,9.6,99,32.78,1,0.33,8,2.65,11,3.64,302,0,0,705
"WARD 7, PRECINCT 6",89,34.36,0,0,28,10.81,36,13.9,85,32.82,4,1.54,10,3.86,6,2.32,259,1,0.39,706
"WARD 7, PRECINCT 7",31,15.27,0,0,23,11.33,58,28.57,76,37.44,1,0.49,9,4.43,4,1.97,203,1,0.49,707
"WARD 7, PRECINCT 8",161,44.97,3,0.84,36,10.06,42,11.73,93,25.98,1,0.28,4,1.12,16,4.47,358,2,0.56,708
"WARD 7, PRECINCT 9",129,45.1,0,0,55,19.23,15,5.24,74,25.87,1,0.35,3,1.05,8,2.8,286,1,0.35,709
"WARD 7, PRECINCT 10",22,7.72,0,0,43,15.09,72,25.26,43,15.09,3,1.05,2,0.7,100,35.09,285,0,0,710
"WARD 8, PRECINCT 1",26,8,0,0,74,22.77,88,27.08,115,35.38,9,2.77,0,0,12,3.69,325,1,0.31,801
"WARD 8, PRECINCT 2",62,10.28,0,0,225,37.31,107,17.74,194,32.17,5,0.83,5,0.83,5,0.83,603,0,0,802
"WARD 8, PRECINCT 3",4,1.9,0,0,61,29.05,79,37.62,44,20.95,0,0,0,0,21,10,210,1,0.48,803
"WARD 8, PRECINCT 4",4,2.76,0,0,27,18.62,79,54.48,30,20.69,1,0.69,0,0,4,2.76,145,0,0,804
"WARD 8, PRECINCT 5",8,2.27,0,0,45,12.78,113,32.1,39,11.08,1,0.28,3,0.85,143,40.63,352,0,0,805
"WARD 8, PRECINCT 6",12,8.57,0,0,23,16.43,15,10.71,27,19.29,0,0,0,0,63,45,140,0,0,806
"WARD 8, PRECINCT 7",13,7.22,0,0,41,22.78,70,38.89,31,17.22,1,0.56,1,0.56,23,12.78,180,0,0,807
"WARD 9, PRECINCT 1",47,10.17,2,0.43,82,17.75,123,26.62,188,40.69,6,1.3,1,0.22,13,2.81,462,0,0,901
"WARD 9, PRECINCT 2",63,11.31,0,0,203,36.45,83,14.9,191,34.29,6,1.08,1,0.18,10,1.8,557,0,0,902
"WARD 9, PRECINCT 3",36,6.17,0,0,105,18.01,238,40.82,182,31.22,5,0.86,2,0.34,14,2.4,583,1,0.17,903
"WARD 9, PRECINCT 4",12,3.64,2,0.61,48,14.55,149,45.15,106,32.12,6,1.82,1,0.3,6,1.82,330,0,0,904
"WARD 9, PRECINCT 5",22,3.68,0,0,105,17.56,324,54.18,133,22.24,1,0.17,0,0,13,2.17,598,0,0,905
"WARD 10, PRECINCT 1",41,16.08,1,0.39,48,18.82,68,26.67,88,34.51,4,1.57,0,0,4,1.57,255,1,0.39,1001
"WARD 10, PRECINCT 2",28,15.91,0,0,28,15.91,46,26.14,67,38.07,0,0,4,2.27,3,1.7,176,0,0,1002
"WARD 10, PRECINCT 3",25,15.92,1,0.64,33,21.02,40,25.48,55,35.03,0,0,0,0,3,1.91,157,0,0,1003
"WARD 10, PRECINCT 4",39,10.89,2,0.56,29,8.1,134,37.43,135,37.71,5,1.4,4,1.12,10,2.79,358,0,0,1004
"WARD 10, PRECINCT 5",27,11.07,0,0,56,22.95,59,24.18,96,39.34,0,0,2,0.82,4,1.64,244,0,0,1005
"WARD 10, PRECINCT 6",12,4.07,0,0,67,22.71,75,25.42,124,42.03,0,0,1,0.34,14,4.75,295,2,0.68,1006
